Date,VIX,GSPC,DJI,MERV,BVSP,GSPTSE,MXX,AORD,SSEC,HSI,BSESN,JKSE,KLSE,N225,NZ50,STI,KS11,TWII,ATX,FCHI,GDAXI,OSEAX,OMXSPI,SSMI,FTSE,GD.AT,TA100,DJT,DJU,DJA,NYA,IXIC,NDX,NBI,OEX,MID,SML,XAX,NWX,XMI,PSE,RUI,RUT,RUA,DWC,TYX,TNX,FVX,IRX,XAU,BFX
2013-09-24,14.08,1697.420044,15334.58984,4815.580078,54431,12848.90039,41209.94922,5229.5,2207.531006,23179.03906,19920.21094,4460.413086,1792.47998,14732.61035,4710.589844,3211.75,2007.099976,8299.096373,2512.199951,4195.609863,8664.599609,558.530029,405.899994,8047,6571.5,1016.11,1135.819946,6655.120117,490.059998,5234.890137,9715.209961,3768.25,3218.659912,2170.790039,756.880005,1241.47998,606.950012,2368.350098,299.420013,1673.949951,1582.709961,946.940002,1074.680054,1018.969971,,3.672,2.653,1.418,0.015,93.720001,2824.070068
2013-09-25,14.01,1692.77002,15273.25977,4798.450195,54261,12836.7002,41724.03125,5270.100098,2198.514893,23209.63086,19856.24023,4406.76709,1784.060059,14620.53027,4764.720215,3208.580078,1998.060059,8283.87669,2525.73999,4195.350098,8665.629883,559.849976,401.48999,8055.200195,6551.5,1020.04,1135.819946,6611.330078,486.459991,5207.410156,9698.950195,3761.100098,3208.550049,2157.629883,754.330017,1242.52002,605.869995,2369.469971,301.859985,1670.280029,1579.910034,944.859985,1073.51001,1016.830017,,3.648,2.614,1.381,0.015,95.279999,2822.449951
2013-09-26,14.06,1698.670044,15328.29981,4838.540039,53783,12841.59961,41327.57813,5288.200195,2155.809082,23125.0293,19893.84961,4405.893066,1774.160034,14799.12012,4765.470215,3194.310059,2007.319946,8184.656759,2531.550049,4186.720215,8664.099609,559.809998,403.279999,8061.399902,6565.600098,1028.58,1135.819946,6637.509766,485.369995,5222.060059,9726.259766,3787.429932,3234.040039,2195.350098,756.659973,1248.910034,609.150024,2385.75,301.720001,1675.209961,1585.790039,948.47998,1078.410034,1020.780029,,3.69,2.643,1.43,0.003,93.769997,2827.040039
2013-09-27,15.46,1691.75,15258.24023,4730.140137,53739,12844.09961,40903.64844,5302.299805,2160.0271,23207.03906,19727.26953,4423.719238,1776.160034,14760.07031,4782.680176,3210.179932,2011.800049,8230.656139,2548.719971,4186.77002,8661.509766,558.280029,401.670013,8055,6512.700195,1030.95,1135.819946,6597.589844,482.190002,5194.47998,9684.169922,3781.590088,3230.300049,2201.669922,753.51001,1244.180054,606.609985,2382.159912,299.049988,1664.359985,1578.5,944.780029,1074.189941,1016.799988,,3.681,2.619,1.396,0.005,93.739998,2818.169922
2013-09-30,16.6,1681.550049,15129.66992,4783.77002,52338,12787.2002,40185.23047,5217.700195,2174.665039,22859.85938,19379.76953,4316.175781,1768.619995,14455.79981,,3167.870117,1996.959961,8173.846732,2528.449951,4143.439941,8594.400391,551.859985,398.529999,8022.600098,6462.200195,1014.06,1142.51001,6582.430176,482.290009,5166.609863,9621.240234,3771.47998,3218.199951,2188.919922,748.119995,1243.849976,607.76001,2363.290039,297.850006,1649.910034,1570.449951,939.5,1073.790039,1011.549988,,3.686,2.615,1.388,0.005,93.419998,2802.27002
2013-10-01,15.54,1695,15191.7002,4906.52002,53179,12847.40039,41335.26953,5206.299805,,,19517.15039,4345.898926,1769.030029,14484.71973,4743.870117,3181.5,1998.869995,8186.996596,2550.429932,4196.600098,8689.139648,552.5,401.029999,8059,6460,1021.8,1150.469971,6672.240234,484.160004,5201.779785,9693.269531,3817.97998,3253.050049,2232.52002,753.799988,1262.369995,615.340027,2348.76001,301.630005,1656.359985,1584.619995,947.76001,1087.430054,1020.76001,,3.721,2.646,1.422,0.013,91.360001,2829.379883
2013-10-02,16.6,1693.869995,15133.13965,4869.799805,53100,12839,41300.66016,5214.899902,,22984.48047,,4387.604004,1770.349976,14170.49023,4768.870117,3152.580078,1999.469971,8216.496024,2541.949951,4158.160156,8629.419922,553.710022,398.640015,7964.399902,6437.5,1011.67,1148.530029,6643.890137,484.799988,5185.220215,9689.290039,3815.02002,3253.26001,2224.429932,753.130005,1258.390015,611.299988,2339.76001,303.679993,1651.430054,1583.300049,947,1082.550049,1019.640015,,3.71,2.626,1.39,0.01,91.769997,2819.669922
2013-10-03,17.67,1678.660034,14996.48047,4866.549805,52490,12735.09961,40841.12891,5232,,23214.40039,19902.07031,4418.643066,1771.369995,14157.25,4770.220215,3144.790039,,8358.995616,2541.560059,4127.97998,8597.910156,557.289978,397.630005,7942.5,6449,1033.25,1136.910034,6574.25,478.910004,5133.740234,9619.19043,3774.340088,3213.830078,2191.330078,746.570007,1247.910034,604.51001,2328.439941,300.709991,1636.130005,1564.829956,938.469971,1070.900024,1010.299988,,3.707,2.606,1.364,0.02,90.550003,2796.370117
2013-10-04,16.74,1690.5,15072.58008,4855.470215,52849,12758.7002,40909.53906,5205.899902,,23138.53906,19915.94922,4389.347168,1776.560059,14024.30957,4759.379883,3138.080078,1996.97998,8364.525874,2527.939941,4164.25,8622.969727,556.409973,396.230011,7943.700195,6453.899902,1067.87,1136.910034,6609.75,480,5158.100098,9675.709961,3807.75,3242.570068,2219.22998,750.809998,1255.439941,608.280029,2329.47998,307.570007,1646.609985,1581.719971,945.25,1078.25,1017.570007,,3.732,2.652,1.409,0.018,90.360001,2812.580078
2013-10-07,19.41,1676.119995,14936.24023,4923.959961,52417,12788.29981,40451.16016,5160.600098,,22973.94922,19895.09961,4374.958984,1776.819946,13853.32031,4756.040039,3136.590088,1994.420044,8333.636313,2501.679932,4165.580078,8591.580078,553,394.529999,7887.899902,6437.299805,1094.45,1154.530029,6537.709961,477.940002,5112.399902,9597.540039,3770.379883,3215.689941,2171.939941,744.820007,1242.199951,601.590027,2329.679932,305.089996,1632.319946,1567.75,936.97998,1065.790039,1008.440002,,3.702,2.634,1.406,0.018,91.790001,2807.800049
